"","parent","code"
"781","A0DBD","A015Y"
"782","A0CGG","A015Z"
"783","A0DAV","A016A"
"784","A0DAS","A016B"
"785","A0DAP","A016C"
"786","A015F","A016D"
"787","A0DBM","A016E"
"788","A0DBD","A016F"
"789","A016D","A016G"
"790","A0DAL","A016H"
"791","A0DAP","A016J"
"792","A0ETN","A016K"
"793","A015E","A016L"
"794","A0DAM","A016M"
"795","A0DAL","A016N"
"796","A0DAD","A016P"
"797","A0D9Z","A016Q"
"798","A016L","A016R"
"799","A0EZJ","A016T"
"800","A016T","A016V"
"801","A016T","A016X"
"802","A016T","A016Y"
"803","A016T","A016Z"
"804","A016T","A017A"
"805","A016T","A017B"
"806","A016T","A017C"
"807","A016T","A017D"
"808","A016T","A017E"
"809","A016T","A017F"
"810","A016T","A017G"
"811","A016T","A017H"
"812","A016T","A017J"
"813","A016T","A017K"
"814","A016T","A017L"
"815","A016T","A017M"
"816","A016T","A017N"
"817","A016T","A017P"
"818","A016T","A017Q"
"819","A016T","A017R"
"820","A016T","A017S"
"821","A016T","A017T"
"822","A0EZM","A017X"
"823","A0CZF","A017Y"
"824","A0CZE","A017Z"
"825","A04KN","A018A"
"826","A04KN","A018B"
"827","A04KN","A018C"
"828","A0CGQ","A018D"
"829","A0CZA","A018E"
"830","A0CYZ","A018F"
"831","A0CYY","A018G"
"832","A0CYT","A018H"
"833","A0CYS","A018J"
"834","A017X","A018K"
"835","A0CGS","A018L"
"836","A0CYS","A018M"
"837","A018Y","A018N"
"838","A0CYS","A018P"
"839","A0EZM","A018Q"
"840","A0CYP","A018R"
"841","A0CGR","A018S"
"842","A0CGS","A018T"
"843","A0CGT","A018V"
"844","A0CYL","A018X"
"845","A018Q","A018Y"
"846","A018Y","A018Z"
"847","A018Z","A019A"
"848","A018Z","A019B"
"849","A018Z","A019C"
"850","A018Y","A019D"
"851","A018Y","A019E"
"852","A018Y","A019F"
"853","A018Y","A019G"
"854","A0CGV","A019H"
"855","A0CYJ","A019J"
"856","A019M","A019K"
"857","A019K","A019L"
"858","A018Q","A019M"
"859","A0CYS","A019N"
"860","A018Y","A019P"
"861","A0CHA","A019Q"
"862","A0CGT","A019R"
"863","A0EZM","A019S"
"864","A019S","A019T"
"865","A019T","A019V"
"866","A019T","A019X"
"867","A019S","A019Y"
"868","A0EZM","A019Z"
"869","A0CYE","A01AA"
"870","A0CGX","A01AB"
"871","A0CGZ","A01AC"
"872","A019Z","A01AD"
"873","A0D1X","A01AE"
"874","A0CGZ","A01AF"
"875","A0D1X","A01AG"
"876","A0D1X","A01AH"
"877","A0CGX","A01AJ"
"878","A0EZM","A01AK"
"879","A0CYA","A01AL"
"880","A0CHA","A01AM"
"881","A01AK","A01AN"
"882","A0CYA","A01AP"
"883","A0F0H","A01AQ"
"884","A0CXS","A01AR"
"885","A01AQ","A01AS"
"886","A0EZM","A01AT"
"887","A0CXR","A01AV"
"888","A01AT","A01AX"
"889","A0BY9","A01AZ"
"890","A03VM","A01BA"
"891","A01AZ","A01BB"
"892","A01AZ","A01BC"
"893","A01AZ","A01BD"
"894","A01AZ","A01BE"
"895","A0EVD","A01BG"
"896","A013M","A01BH"
"897","A0EZH","A01BJ"
"898","A0EVA","A01BK"
"899","A0F0M","A01BL"
"900","A0F0M","A01BM"
"901","A0F0M","A01BN"
"902","A01HH","A01BP"
"903","A01BR","A01BQ"
"904","A01QN","A01BR"
"905","A04RK","A01BT"
"906","A014P","A01BV"
"907","A01BT","A01BX"
"908","A01BX","A01BY"
"909","A01BX","A01BZ"
"910","A0DYX","A01CA"
"911","A01BT","A01CB"
"912","A01CB","A01CC"
"913","A01CB","A01CD"
"914","A01CB","A01CE"
"915","A01CD","A01CF"
"916","A01CB","A01CG"
"917","A01CB","A01CH"
"918","A01CB","A01CJ"
"919","A01CB","A01CK"
"920","A01CB","A01CL"
"921","A01CB","A01CM"
"922","A01CB","A01CN"
"923","A01BT","A01CP"
"924","A01CP","A01CQ"
"925","A0DZB","A01CR"
"926","A0DZB","A01CS"
"927","A01CP","A01CT"
"928","A01CP","A01CV"
"929","A01BT","A01CX"
"930","A01CX","A01CY"
"931","A01CX","A01CZ"
"932","A01CX","A01DA"
"933","A01CZ","A01DB"
"934","A01CX","A01DC"
"935","A01CX","A01DD"
"936","A01DC","A01DE"
"937","A01BT","A01DF"
"938","A04RK","A01DG"
"939","A01DG","A01DH"
"940","A01DH","A01DJ"
"941","A01DH","A01DK"
"942","A0DVY","A01DL"
"943","A0DVZ","A01DM"
"944","A01DG","A01DN"
"945","A01DN","A01DP"
"946","A01DN","A01DQ"
"947","A0DXC","A01DR"
"948","A01DG","A01DS"
"949","A04RK","A01DT"
"950","A01DT","A01DV"
"951","A0DVE","A01DX"
"952","A0DVC","A01DY"
"953","A01DT","A01DZ"
"954","A01DZ","A01EA"
"955","A01DZ","A01EB"
"956","A01DZ","A01EC"
"957","A01DT","A01ED"
"958","A0DTY","A01EE"
"959","A01ED","A01EF"
"960","A01EF","A01EG"
"961","A01EF","A01EH"
"962","A01EF","A01EJ"
"963","A01EF","A01EK"
"964","A01EF","A01EL"
"965","A04JK","A01EM"
"966","A01ED","A01EN"
"967","A01EN","A01EP"
"968","A01EN","A01EQ"
"969","A01EN","A01ER"
"970","A01ED","A01ES"
"971","A01EF","A01ET"
"972","A01EF","A01EV"
"973","A01DT","A01EX"
"974","A04JJ","A01EY"
"975","A01EY","A01EZ"
"976","A01EY","A01FA"
"977","A01EY","A01FB"
"978","A04JJ","A01FC"
"979","A04JJ","A01FD"
"980","A04JJ","A01FE"
"981","A01FE","A01FF"
"982","A01FE","A01FG"
"983","A04JK","A01FH"
"984","A04JJ","A01FJ"
"985","A01FJ","A01FK"
"986","A01FJ","A01FL"
"987","A0DSV","A01FM"
"988","A01FM","A01FN"
"989","A01FM","A01FP"
"990","A01EX","A01FQ"
"991","A01EX","A01FR"
"992","A04JL","A01FS"
"993","A04JN","A01FT"
"994","A0CFC","A01FV"
